BID,Project,Product_Code,WBS,Status,Bug_hours,Created,Updated
173,02392,SPY  ,1.3.3.x.2.y.1,C,19,2016/07/19 23:58,2016/08/31 17:26
174,02392,SPY  ,1.3.3.x.3.y.1,C,20,2016/07/19 23:58,2016/08/31 17:26
175,02392,SPY  ,1.3.3.x.3.y.1,C,1,2016/07/19 23:58,2016/09/14 20:18
176,02392,SPY  ,1.3.3.x.3.y.1,C,6,2016/07/19 23:58,2016/09/06 14:36
177,02392,SPY  ,1.3.3.x.2.y.1,C,13,2016/07/19 23:58,2016/08/31 17:26
178,02367,SPY  ,1.5.x.y.3,C,1,2016/07/19 23:58,2016/09/20 15:47
179,02392,SPY  ,1.3.3.x.2.y.1,C,7,2016/07/19 23:58,2016/08/31 17:25
180,02247,SPY  ,1.3.3.x.2.y.1,C,1,2016/07/19 23:57,2016/08/31 17:16
181,02247,SPY  ,1.3.3.x.2.y.1,C,8,2016/07/19 23:57,2016/08/31 17:16
182,02247,SPY  ,1.3.3.x.3.y.1,C,5,2016/07/19 23:57,2016/09/02 12:26
183,02247,SPY  ,1.3.3.x.2.y.1,C,16,2016/07/19 23:57,2016/09/21 11:54
184,02247,SPY  ,1.3.3.x.3.y.1,C,17,2016/07/19 23:57,2016/08/31 17:17
185,02247,SPY  ,1.3.3.x.2.y.1,C,8,2016/07/19 23:57,2016/08/31 17:16
186,02247,SPY  ,1.7.x.1,C,12,2016/07/19 23:57,2016/08/31 17:16
187,02247,SPY  ,1.3.3.x.3.y.1,C,4,2016/07/19 23:57,2016/09/06 14:37
188,02247,SPY  ,1.3.3.x.3.y.1,C,9,2016/07/19 23:57,2016/10/03 22:33
189,02247,SPY  ,1.3.3.x.2.y.1,C,4,2016/07/19 23:57,2016/09/29 20:30
190,02247,SPY  ,1.3.3.x.3.y.1,C,20,2016/07/19 23:57,2016/09/14 20:18
191,02247,SPY  ,1.3.3.x.3.y.1,C,17,2016/07/19 23:57,2016/09/14 20:19
192,02247,SPY  ,1.7.x.1,C,7,2016/07/19 23:57,2016/08/31 17:16
193,02433,SPY  ,1.3.3.x.3.y.1,C,5,2016/07/19 23:57,2016/09/16 20:26
194,02433,SPY  ,1.3.3.x.2.y.1,C,15,2016/07/19 23:57,2016/09/16 14:14
195,02247,SPY  ,1.7.x.1,C,8,2016/07/19 23:57,2016/08/31 17:16
196,02392,SPY  ,1.3.3.x.2.y.1,C,17,2016/07/19 10:18,2016/08/31 17:27
197,02247,SPY  ,1.2.x.y.3.1,C,3,2016/07/14 13:24,2016/08/31 17:41
198,02247,SPY  ,1.3.3.x.2.y.1,C,16,2016/07/14 01:15,2016/08/31 17:17
199,02247,SPY  ,1.3.3.x.2.y.1,C,6,2016/07/14 00:28,2016/08/31 17:17
200,02247,SPY  ,1.7.x.1,C,8,2016/07/14 00:18,2016/08/31 17:16
201,02247,SPY  ,1.3.3.x.2.y.1,C,8,2016/07/13 22:57,2016/09/07 11:25
202,02247,SPY  ,1.3.3.x.3.y.1,C,4,2016/07/11 11:37,2016/08/31 17:41
203,02471,SPY  ,1.3.3.x.2.y.1,C,15,2016/07/08 20:15,2016/08/31 17:26
204,02471,SPY  ,1.3.3.x.2.y.1,C,12,2016/07/08 20:15,2016/08/31 17:26
205,02392,SPY  ,1.3.3.x.2.y.1,C,20,2016/07/08 20:15,2016/08/31 17:26
206,02392,SPY  ,1.3.3.x.2.y.1,C,22,2016/07/08 20:15,2016/08/31 17:26
207,02392,SPY  ,1.3.3.x.3.y.1,C,7,2016/07/08 20:15,2016/08/31 17:27
208,02392,SPY  ,1.3.3.x.3.y.1,C,18,2016/07/08 20:15,2016/08/31 17:26
209,02392,SPY  ,1.2.x.y.3.1,C,16,2016/07/08 20:15,2016/08/31 17:26
210,02367,SPY  ,1.3.3.x.3.y.1,C,12,2016/07/08 20:15,2016/09/06 14:50
211,02392,SPY  ,1.2.x.y.3.1,C,22,2016/07/08 20:15,2016/08/31 17:27
212,02392,SPY  ,1.3.3.x.2.y.1,C,19,2016/07/08 20:15,2016/08/31 17:27
213,02392,SPY  ,1.3.3.x.2.y.1,C,5,2016/07/08 20:15,2016/08/31 17:26
214,02392,SPY  ,1.3.3.x.2.y.1,C,9,2016/07/08 20:15,2016/08/31 17:26
215,02392,SPY  ,1.3.3.x.2.y.1,C,2,2016/07/08 20:15,2016/08/31 17:25
216,02392,SPY  ,1.3.3.x.2.y.1,C,2,2016/07/08 20:15,2016/08/31 17:26
217,02392,SPY  ,1.3.3.x.2.y.1,C,18,2016/07/08 20:15,2016/08/31 17:27
218,02392,SPY  ,1.3.3.x.2.y.1,C,13,2016/07/08 20:15,2016/08/31 17:26
219,02392,SPY  ,1.3.3.x.3.y.1,C,22,2016/07/08 20:15,2016/08/31 17:25
220,02392,SPY  ,1.3.3.x.2.y.1,C,16,2016/07/08 20:15,2016/08/31 17:27
221,02367,SPY  ,1.3.3.x.3.y.1,C,12,2016/07/08 20:15,2016/08/31 17:27
222,02471,SPY  ,1.3.3.x.3.y.1,C,7,2016/07/08 20:14,2016/08/31 17:32
223,02471,SPY  ,1.3.3.x.2.y.1,C,12,2016/07/08 20:14,2016/08/31 17:31
224,02247,SPY  ,1.7.x.1,C,22,2016/07/08 20:13,2016/08/31 17:16
